env,date,DL,GDD,dGDD,DTR
JL,2014/5/9,14.554,10.548,0.0,35.856
JL,2014/5/10,14.596,9.405,1.143,22.716
JL,2014/5/11,14.637,7.929,1.476,15.678
JL,2014/5/12,14.677,6.057,1.872,16.398
JL,2014/5/13,14.717,9.549,3.492,21.816
JL,2014/5/14,14.756,7.56,1.989,21.204
JL,2014/5/15,14.795,1.773,5.787,6.102
JL,2014/5/16,14.833,7.758,5.985,21.33
JL,2014/5/17,14.87,8.361,0.603,18.558
JL,2014/5/18,14.907,7.344,1.017,18.972
JL,2014/5/19,14.942,8.1,0.756,18.756
JL,2014/5/20,14.978,6.903,1.197,12.222
JL,2014/5/21,15.012,10.17,3.267,22.536
JL,2014/5/22,15.046,12.807,2.637,29.034
JL,2014/5/23,15.078,18.0,5.193,24.48
LN,2014/5/11,14.371,6.147,0.0,7.758
LN,2014/5/12,14.407,8.451,2.304,17.712
LN,2014/5/13,14.442,13.896,5.445,31.014
LN,2014/5/14,14.477,10.881,3.015,24.444
LN,2014/5/15,14.512,10.584,0.297,26.19
LN,2014/5/16,14.545,12.537,1.953,29.358
LN,2014/5/17,14.578,13.635,1.098,27.756
LN,2014/5/18,14.611,17.802,4.167,25.524
LN,2014/5/19,14.643,13.248,4.554,16.416
LN,2014/5/20,14.674,12.006,1.242,17.424
LN,2014/5/21,14.704,16.173,4.167,33.156
LN,2014/5/22,14.734,17.424,1.251,27.684
LN,2014/5/23,14.763,23.724,6.3,30.384
LN,2014/5/24,14.791,16.317,7.407,16.038
LN,2014/5/25,14.819,13.401,2.916,18.378
HeB,2014/6/11,14.819,24.435,0.0,22.23
HeB,2014/6/12,14.828,31.266,6.831,31.968
HeB,2014/6/13,14.837,31.032,0.234,20.016
HeB,2014/6/14,14.845,32.472,1.44,27.612
HeB,2014/6/15,14.852,33.516,1.044,21.096
HeB,2014/6/16,14.858,28.053,5.463,17.298
HeB,2014/6/17,14.864,28.476,0.423,14.076
HeB,2014/6/18,14.868,25.371,3.105,9.414
HeB,2014/6/19,14.871,20.97,4.401,13.14
HeB,2014/6/20,14.874,23.823,2.853,21.51
HeB,2014/6/21,14.875,24.21,0.387,22.824
HeB,2014/6/22,14.876,25.92,1.71,20.988
HeB,2014/6/23,14.875,29.511,3.591,24.75
HeB,2014/6/24,14.874,31.311,1.8,22.914
HeB,2014/6/25,14.871,28.161,3.15,12.114
