ID,PH_JL,PH_LN,PH_HeB,EW_JL,EW_LN,EW_HeB
ID1,234.6,241.13,228.8,84.4,77.5,54.25
ID2,217.2,204.0,196.75,104.4,140.0,88.63
ID3,198.5,207.4,233.33,157.0,127.5,96.5
ID4,209.8,230.5,189.4,108.4,148.0,119.7
ID5,219.2,200.0,183.75,137.4,144.0,128.38
ID6,222.0,230.5,205.25,99.89918722786646,111.0,90.2
ID7,217.5,211.6,225.0,62.5,123.0,88.5
ID8,201.25,228.0,202.5,112.2,116.0,87.0
ID9,237.0,248.2,195.0,78.4,110.0,121.2
ID10,209.25,204.0,184.5,48.8,87.5,59.0
ID11,211.5,205.4,192.5,33.8,117.4904510703364,63.5
ID12,206.2,193.86,208.0,97.2,115.0,117.7
ID13,241.2,239.6,211.0,117.8,94.0,89.7
ID14,227.6,221.2,197.2,72.4,131.0,77.7
ID15,172.2,161.8,138.2,138.2,126.0,84.5
