env,date,DL,GDD,dGDD,DTR
HeB,2014/6/11,14.819,24.435,0,22.23
HeB,2014/6/12,14.828,31.266,6.831,31.968
HeB,2014/6/13,14.837,31.032,0.234,20.016
HeB,2014/6/14,14.845,32.472,1.44,27.612
HeB,2014/6/15,14.852,33.516,1.044,21.096
HeB,2014/6/16,14.858,28.053,5.463,17.298
HeB,2014/6/17,14.864,28.476,0.423,14.076
HeB,2014/6/18,14.868,25.371,3.105,9.414
HeB,2014/6/19,14.871,20.97,4.401,13.14
HeB,2014/6/20,14.874,23.823,2.853,21.51
HeB,2014/6/21,14.875,24.21,0.387,22.824
HeB,2014/6/22,14.876,25.92,1.71,20.988
HeB,2014/6/23,14.875,29.511,3.591,24.75
HeB,2014/6/24,14.874,31.311,1.8,22.914
HeB,2014/6/25,14.871,28.161,3.15,12.114
