env,date,DL,GDD,dGDD,DTR
JL,2014/5/9,14.554,10.548,0,35.856
JL,2014/5/10,14.596,9.405,1.143,22.716
JL,2014/5/11,14.637,7.929,1.476,15.678
JL,2014/5/12,14.677,6.057,1.872,16.398
JL,2014/5/13,14.717,9.549,3.492,21.816
JL,2014/5/14,14.756,7.56,1.989,21.204
JL,2014/5/15,14.795,1.773,5.787,6.102
JL,2014/5/16,14.833,7.758,5.985,21.33
JL,2014/5/17,14.87,8.361,0.603,18.558
JL,2014/5/18,14.907,7.344,1.017,18.972
JL,2014/5/19,14.942,8.1,0.756,18.756
JL,2014/5/20,14.978,6.903,1.197,12.222
JL,2014/5/21,15.012,10.17,3.267,22.536
JL,2014/5/22,15.046,12.807,2.637,29.034
JL,2014/5/23,15.078,18,5.193,24.48
