env,date,DL,GDD,dGDD,DTR
LN,2014/5/11,14.371,6.147,0,7.758
LN,2014/5/12,14.407,8.451,2.304,17.712
LN,2014/5/13,14.442,13.896,5.445,31.014
LN,2014/5/14,14.477,10.881,3.015,24.444
LN,2014/5/15,14.512,10.584,0.297,26.19
LN,2014/5/16,14.545,12.537,1.953,29.358
LN,2014/5/17,14.578,13.635,1.098,27.756
LN,2014/5/18,14.611,17.802,4.167,25.524
LN,2014/5/19,14.643,13.248,4.554,16.416
LN,2014/5/20,14.674,12.006,1.242,17.424
LN,2014/5/21,14.704,16.173,4.167,33.156
LN,2014/5/22,14.734,17.424,1.251,27.684
LN,2014/5/23,14.763,23.724,6.3,30.384
LN,2014/5/24,14.791,16.317,7.407,16.038
LN,2014/5/25,14.819,13.401,2.916,18.378
